City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
322,te anau,-45.4167,167.7167,277.59,92,10,0.7,NZ,1667743908
323,san patricio,28.017,-97.5169,297.54,91,49,1.82,US,1667743908
324,provideniya,64.3833,-173.3,275.26,99,100,3.45,RU,1667743909
325,boyolangu,-8.1181,111.8935,297.74,91,100,0.59,ID,1667743832
326,porto walter,-8.2686,-72.7439,304.5,28,14,1.6,BR,1667743910
327,coari,-4.085,-63.1414,303.15,64,60,0.54,BR,1667743910
328,mount isa,-20.7333,139.5,299.02,50,75,4.63,AU,1667743910
329,teya,60.3778,92.6267,268.26,96,100,1.38,RU,1667743911
330,miraflores,19.2167,-98.8083,288.17,60,0,0.43,MX,1667743911
331,cherskiy,68.75,161.3,251.69,100,100,1.59,RU,1667743911
332,beberibe,-4.1797,-38.1306,303.57,57,91,6.37,BR,1667743912
333,portland,45.5234,-122.6762,281.47,91,100,6.17,US,1667743720
334,shobara,34.85,133.0167,281.12,92,53,0.92,JP,1667743913
335,vallenar,-28.5708,-70.7581,295.64,41,4,1.9,CL,1667743913
336,severnyy,50.677,36.5532,274.17,80,100,3.0,RU,1667743913
337,lagoa,39.05,-27.9833,290.66,72,0,7.57,PT,1667743914
338,ryki,51.6257,21.9327,284.16,46,98,1.0,PL,1667743914
339,arman,59.7,150.1667,270.07,79,100,5.27,RU,1667743915
340,esperance,-33.8667,121.9,288.16,80,52,9.02,AU,1667743915
341,xuddur,4.1213,43.8894,302.65,45,69,6.19,SO,1667743915
342,yar-sale,66.8333,70.8333,264.01,97,89,2.49,RU,1667743916
343,bolu,40.6667,31.5833,289.22,32,100,1.89,TR,1667743916
344,nichinan,31.6,131.3667,289.08,64,100,1.98,JP,1667743917
345,vytegra,61.0064,36.4481,274.6,80,100,4.7,RU,1667743917
346,zolotyy potik,48.9095,25.3393,282.39,80,100,2.94,UA,1667743918
347,chicontepec,20.9667,-98.1667,292.89,88,0,0.91,MX,1667743918
348,quelimane,-17.8786,36.8883,304.2,52,74,5.19,MZ,1667743919
349,sovetskiy,61.3614,63.5842,267.87,94,67,2.57,RU,1667743919
350,itoman,26.1247,127.6694,295.16,73,40,5.14,JP,1667743919
351,pleasanton,37.6624,-121.8747,284.88,85,100,4.63,US,1667743806
352,ancud,-41.8697,-73.8203,285.34,75,100,2.45,CL,1667743920
353,camacha,33.0833,-16.3333,293.83,68,40,3.6,PT,1667743920
354,hofn,64.2539,-15.2082,279.16,56,75,6.69,IS,1667743921
355,aksarka,66.5606,67.7975,263.94,95,78,1.03,RU,1667743921
356,loreto,22.2667,-101.9667,287.94,31,0,2.1,MX,1667743922
357,suleja,9.1758,7.1808,306.02,23,100,1.46,NG,1667743922
358,juegang,32.3174,121.1855,286.99,72,0,4.19,CN,1667743923
359,oranjemund,-28.55,16.4333,291.72,81,100,5.97,NA,1667743923
360,socorro,31.6546,-106.3033,287.31,44,20,2.57,US,1667743667
361,daru,-9.0763,143.2092,299.86,86,100,5.36,PG,1667743924
362,bukachacha,52.9833,116.9167,261.5,96,21,1.04,RU,1667743925
363,jijiga,9.35,42.8,297.9,19,7,6.92,ET,1667743925
364,ossora,59.2353,163.0719,268.31,79,13,1.68,RU,1667743926
365,nelson bay,-32.7167,152.15,290.93,95,5,2.68,AU,1667743926
366,tomatlan,19.9333,-105.25,293.05,86,2,1.28,MX,1667743927
